cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
0,Game (Ours),CAV000_Game_Ours_1200pcu_h,83,116.29,4.7,0,0,11,0.0,0.0,0.3893
0,Game (Ours),CAV000_Game_Ours_2000pcu_h,127,124.36,12.89,0,0,23,0.0,0.0,0.6406
0,Game (Ours),CAV000_Game_Ours_2800pcu_h,178,129.1,18.07,0,0,34,0.0,0.0,0.6317
0,Game (Ours),CAV000_Game_Ours_3600pcu_h,222,134.57,23.22,0,0,47,0.0,0.0,0.589
0,SUMO Default,CAV000_SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
0,SUMO Default,CAV000_SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
0,SUMO Default,CAV000_SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
0,SUMO Default,CAV000_SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
0,Rule-Based,CAV000_Rule-Based_1200pcu_h,2,126.15,-0.46,0,2,42,10.383,0.1411,0.0
0,Rule-Based,CAV000_Rule-Based_2000pcu_h,1,117.5,-0.51,0,2,69,11.3588,0.1557,0.0
0,Rule-Based,CAV000_Rule-Based_2800pcu_h,1,117.5,-0.5,0,2,89,11.212,0.137,0.0
0,Rule-Based,CAV000_Rule-Based_3600pcu_h,1,117.5,-0.53,0,2,117,11.2192,0.1373,0.0
0,No-V2X,CAV000_No-V2X_1200pcu_h,83,116.29,4.7,0,0,11,0.0,0.0,0.3893
0,No-V2X,CAV000_No-V2X_2000pcu_h,127,124.36,12.89,0,0,23,0.0,0.0,0.6406
0,No-V2X,CAV000_No-V2X_2800pcu_h,178,129.1,18.07,0,0,34,0.0,0.0,0.6317
0,No-V2X,CAV000_No-V2X_3600pcu_h,222,134.57,23.22,0,0,47,0.0,0.0,0.589
0,DRL (PPO),CAV000_DRL_PPO_1200pcu_h,83,116.29,4.7,0,0,11,0.0,0.0,0.3893
0,DRL (PPO),CAV000_DRL_PPO_2000pcu_h,127,124.36,12.89,0,0,23,0.0,0.0,0.6406
0,DRL (PPO),CAV000_DRL_PPO_2800pcu_h,178,129.1,18.07,0,0,34,0.0,0.0,0.6317
0,DRL (PPO),CAV000_DRL_PPO_3600pcu_h,222,134.57,23.22,0,0,47,0.0,0.0,0.589
10,Game (Ours),CAV010_Game_Ours_1200pcu_h,77,118.71,5.28,4,0,14,0.0,0.0,0.5215
10,Game (Ours),CAV010_Game_Ours_2000pcu_h,121,128.4,15.91,6,0,31,0.0,0.0,0.5491
10,Game (Ours),CAV010_Game_Ours_2800pcu_h,176,138.74,25.77,8,0,35,0.0,0.0,0.4764
10,Game (Ours),CAV010_Game_Ours_3600pcu_h,214,142.7,29.85,23,0,48,0.0,0.0,0.4364
10,SUMO Default,CAV010_SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
10,SUMO Default,CAV010_SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
