cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
0,Game (Ours),Game_Ours_1200pcu_h,80.3,120.4,6.8,0.0,0.7,13.0,0.0,0.0,0.6
0,Game (Ours),Game_Ours_2000pcu_h,125.0,127.7,15.1,0.0,0.0,26.7,0.0,0.0,0.6
0,Game (Ours),Game_Ours_2800pcu_h,169.7,134.8,22.1,0.0,0.0,36.0,0.0,0.0,0.6
0,Game (Ours),Game_Ours_3600pcu_h,223.3,137.3,24.8,0.0,0.7,44.0,0.0,0.0,0.5
0,SUMO Default,SUMO_Default_1200pcu_h,61.0,149.4,20.0,0.0,0.0,10.0,16.7,0.6,0.7
0,SUMO Default,SUMO_Default_2000pcu_h,35.0,138.8,9.8,0.0,0.0,54.0,14.9,0.3,0.8
0,SUMO Default,SUMO_Default_2800pcu_h,41.0,137.7,9.4,0.0,2.0,72.0,15.0,0.3,0.5
0,SUMO Default,SUMO_Default_3600pcu_h,57.0,161.8,34.0,0.0,0.0,92.0,16.6,0.3,0.4
0,Rule-Based,Rule-Based_1200pcu_h,2.0,126.2,-0.5,0.0,2.0,42.0,10.4,0.1,0.0
0,Rule-Based,Rule-Based_2000pcu_h,1.0,117.5,-0.5,0.0,2.0,69.0,11.4,0.2,0.0
0,Rule-Based,Rule-Based_2800pcu_h,1.0,117.5,-0.5,0.0,2.0,89.0,11.2,0.1,0.0
0,Rule-Based,Rule-Based_3600pcu_h,1.0,117.5,-0.5,0.0,2.0,117.0,11.2,0.1,0.0
0,No-V2X,No-V2X_1200pcu_h,80.3,120.4,6.8,0.0,0.7,13.0,0.0,0.0,0.6
0,No-V2X,No-V2X_2000pcu_h,125.0,127.7,15.1,0.0,0.0,26.7,0.0,0.0,0.6
0,No-V2X,No-V2X_2800pcu_h,169.7,134.8,22.1,0.0,0.0,36.0,0.0,0.0,0.6
0,No-V2X,No-V2X_3600pcu_h,223.3,137.3,24.8,0.0,0.7,44.0,0.0,0.0,0.5
0,DRL (PPO),DRL_PPO_1200pcu_h,80.3,120.4,6.8,0.0,0.7,13.0,0.0,0.0,0.6
0,DRL (PPO),DRL_PPO_2000pcu_h,125.0,127.7,15.1,0.0,0.0,26.7,0.0,0.0,0.6
0,DRL (PPO),DRL_PPO_2800pcu_h,169.7,134.8,22.1,0.0,0.0,36.0,0.0,0.0,0.6
0,DRL (PPO),DRL_PPO_3600pcu_h,223.3,137.3,24.8,0.0,0.7,44.0,0.0,0.0,0.5
10,Game (Ours),Game_Ours_1200pcu_h,80.0,123.0,8.0,4.7,0.0,13.0,0.0,0.0,0.5
10,Game (Ours),Game_Ours_2000pcu_h,128.0,129.6,15.3,11.3,0.0,25.0,0.0,0.0,0.5
10,Game (Ours),Game_Ours_2800pcu_h,163.0,139.8,25.6,10.0,0.0,34.7,0.0,0.0,0.4
10,Game (Ours),Game_Ours_3600pcu_h,213.3,145.7,31.6,11.3,0.0,47.0,0.0,0.0,0.4
