cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
0,Game (Ours),Game_Ours_1200pcu_h,79,120.38,6.31,0,0,15,0.0,0.0,0.5297
0,Game (Ours),Game_Ours_1200pcu_h,81,118.45,5.58,0,2,12,0.0,0.0,0.5518
0,Game (Ours),Game_Ours_1200pcu_h,81,122.32,8.45,0,0,12,0.0,0.0,0.59
0,Game (Ours),Game_Ours_2000pcu_h,136,127.76,14.76,0,0,27,0.0,0.0,0.6062
0,Game (Ours),Game_Ours_2000pcu_h,121,126.65,14.45,0,0,24,0.0,0.0,0.6222
0,Game (Ours),Game_Ours_2000pcu_h,118,128.71,16.09,0,0,29,0.0,0.0,0.6565
0,Game (Ours),Game_Ours_2800pcu_h,175,131.92,19.17,0,0,36,0.0,0.0,0.5482
0,Game (Ours),Game_Ours_2800pcu_h,164,136.04,23.57,0,0,34,0.0,0.0,0.4884
0,Game (Ours),Game_Ours_2800pcu_h,170,136.33,23.49,0,0,38,0.0,0.0,0.6155
0,Game (Ours),Game_Ours_3600pcu_h,221,134.82,21.95,0,0,44,0.0,0.0,0.5621
0,Game (Ours),Game_Ours_3600pcu_h,227,141.03,29.25,0,2,45,0.0,0.0,0.5224
0,Game (Ours),Game_Ours_3600pcu_h,222,136.11,23.16,0,0,43,0.0,0.0,0.4943
0,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
0,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
0,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
0,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
0,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
0,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
0,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
0,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
0,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
0,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
0,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
0,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
0,Rule-Based,Rule-Based_1200pcu_h,2,126.15,-0.46,0,2,42,10.383,0.1411,0.0
0,Rule-Based,Rule-Based_1200pcu_h,2,126.15,-0.46,0,2,42,10.383,0.1411,0.0
0,Rule-Based,Rule-Based_1200pcu_h,2,126.15,-0.46,0,2,42,10.383,0.1411,0.0
0,Rule-Based,Rule-Based_2000pcu_h,1,117.5,-0.51,0,2,69,11.3588,0.1557,0.0
0,Rule-Based,Rule-Based_2000pcu_h,1,117.5,-0.51,0,2,69,11.3588,0.1557,0.0
0,Rule-Based,Rule-Based_2000pcu_h,1,117.5,-0.51,0,2,69,11.3588,0.1557,0.0
