model,scenario,penetration,n_cav,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,label
No-V2X,1200pcu/h_0%CAV,0.0,120,77,139.58,16.91,0,0,11,1200pcu/h_0%CAV
No-V2X,2000pcu/h_0%CAV,0.0,200,109,126.81,14.87,0,0,23,2000pcu/h_0%CAV
No-V2X,2800pcu/h_0%CAV,0.0,280,97,130.74,20.12,0,0,34,2800pcu/h_0%CAV
No-V2X,3600pcu/h_0%CAV,0.0,360,61,137.44,25.54,0,0,47,3600pcu/h_0%CAV
No-V2X,1200pcu/h_10%CAV,0.1,120,78,119.16,5.69,4,0,14,1200pcu/h_10%CAV
No-V2X,2000pcu/h_10%CAV,0.1,200,122,130.11,17.3,6,0,32,2000pcu/h_10%CAV
No-V2X,2800pcu/h_10%CAV,0.1,280,176,136.6,23.67,11,0,32,2800pcu/h_10%CAV
No-V2X,3600pcu/h_10%CAV,0.1,360,218,144.69,31.74,10,0,45,3600pcu/h_10%CAV
No-V2X,1200pcu/h_30%CAV,0.3,120,80,123.74,7.12,6,0,11,1200pcu/h_30%CAV
No-V2X,2000pcu/h_30%CAV,0.3,200,129,130.22,13.78,22,0,20,2000pcu/h_30%CAV
No-V2X,2800pcu/h_30%CAV,0.3,280,160,145.4,28.61,23,0,39,2800pcu/h_30%CAV
No-V2X,3600pcu/h_30%CAV,0.3,360,214,144.93,28.39,26,0,40,3600pcu/h_30%CAV
No-V2X,1200pcu/h_50%CAV,0.5,120,74,128.32,8.11,21,0,13,1200pcu/h_50%CAV
No-V2X,2000pcu/h_50%CAV,0.5,200,124,139.2,19.16,31,0,23,2000pcu/h_50%CAV
No-V2X,2800pcu/h_50%CAV,0.5,280,171,138.49,18.47,55,0,31,2800pcu/h_50%CAV
No-V2X,3600pcu/h_50%CAV,0.5,360,211,149.0,29.13,55,4,52,3600pcu/h_50%CAV
No-V2X,1200pcu/h_70%CAV,0.7,120,80,130.64,6.91,27,0,11,1200pcu/h_70%CAV
No-V2X,2000pcu/h_70%CAV,0.7,200,126,133.91,10.62,51,0,22,2000pcu/h_70%CAV
No-V2X,2800pcu/h_70%CAV,0.7,280,172,138.81,15.03,62,2,31,2800pcu/h_70%CAV
No-V2X,3600pcu/h_70%CAV,0.7,360,216,144.84,20.75,82,2,40,3600pcu/h_70%CAV
No-V2X,1200pcu/h_100%CAV,1.0,120,77,135.51,6.43,37,0,12,1200pcu/h_100%CAV
No-V2X,2000pcu/h_100%CAV,1.0,200,126,137.2,8.74,69,2,17,2000pcu/h_100%CAV
No-V2X,2800pcu/h_100%CAV,1.0,280,173,143.3,14.67,103,0,23,2800pcu/h_100%CAV
No-V2X,3600pcu/h_100%CAV,1.0,360,203,147.33,18.76,115,0,35,3600pcu/h_100%CAV
