model,scenario,penetration,n_cav,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,label
Rule-Based,1200pcu/h_0%CAV,0.0,120,77,139.58,16.91,0,0,38,1200pcu/h_0%CAV
Rule-Based,2000pcu/h_0%CAV,0.0,200,109,126.81,14.87,0,2,69,2000pcu/h_0%CAV
Rule-Based,2800pcu/h_0%CAV,0.0,280,97,130.74,20.12,0,2,89,2800pcu/h_0%CAV
Rule-Based,3600pcu/h_0%CAV,0.0,360,61,137.44,25.54,0,2,117,3600pcu/h_0%CAV
Rule-Based,1200pcu/h_10%CAV,0.1,120,2,109.2,-0.27,0,2,39,1200pcu/h_10%CAV
Rule-Based,2000pcu/h_10%CAV,0.1,200,2,109.2,-0.28,0,4,62,2000pcu/h_10%CAV
Rule-Based,2800pcu/h_10%CAV,0.1,280,2,109.2,-0.28,0,4,86,2800pcu/h_10%CAV
Rule-Based,3600pcu/h_10%CAV,0.1,360,2,109.2,-0.27,0,4,108,3600pcu/h_10%CAV
Rule-Based,1200pcu/h_30%CAV,0.3,120,2,109.2,-0.27,0,4,36,1200pcu/h_30%CAV
Rule-Based,2000pcu/h_30%CAV,0.3,200,3,113.17,-0.4,0,6,69,2000pcu/h_30%CAV
Rule-Based,2800pcu/h_30%CAV,0.3,280,2,109.2,-0.28,0,6,92,2800pcu/h_30%CAV
Rule-Based,3600pcu/h_30%CAV,0.3,360,3,112.03,-0.41,0,6,108,3600pcu/h_30%CAV
Rule-Based,1200pcu/h_50%CAV,0.5,120,2,109.2,-0.28,0,4,41,1200pcu/h_50%CAV
Rule-Based,2000pcu/h_50%CAV,0.5,200,3,118.2,-0.35,0,4,70,2000pcu/h_50%CAV
Rule-Based,2800pcu/h_50%CAV,0.5,280,2,109.2,-0.27,0,4,90,2800pcu/h_50%CAV
Rule-Based,3600pcu/h_50%CAV,0.5,360,2,109.2,-0.27,0,4,112,3600pcu/h_50%CAV
Rule-Based,1200pcu/h_70%CAV,0.7,120,3,118.2,-0.35,0,4,43,1200pcu/h_70%CAV
Rule-Based,2000pcu/h_70%CAV,0.7,200,3,118.2,-0.35,0,4,69,2000pcu/h_70%CAV
Rule-Based,2800pcu/h_70%CAV,0.7,280,3,118.2,-0.35,0,4,90,2800pcu/h_70%CAV
Rule-Based,3600pcu/h_70%CAV,0.7,360,3,118.2,-0.35,0,4,114,3600pcu/h_70%CAV
Rule-Based,1200pcu/h_100%CAV,1.0,120,48,130.51,1.99,0,0,38,1200pcu/h_100%CAV
Rule-Based,2000pcu/h_100%CAV,1.0,200,80,133.16,4.73,0,0,69,2000pcu/h_100%CAV
Rule-Based,2800pcu/h_100%CAV,1.0,280,106,136.8,8.18,0,0,92,2800pcu/h_100%CAV
Rule-Based,3600pcu/h_100%CAV,1.0,360,135,139.58,10.85,0,0,119,3600pcu/h_100%CAV
