model,scenario,penetration,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue
Rule-Based,1200pcu/h_0%CAV,0.0,77,139.58,16.91,0,0,38
Rule-Based,2000pcu/h_0%CAV,0.0,109,126.81,14.87,0,2,69
Rule-Based,2800pcu/h_0%CAV,0.0,97,130.74,20.12,0,2,89
Rule-Based,3600pcu/h_0%CAV,0.0,61,137.44,25.54,0,2,117
Rule-Based,1200pcu/h_10%CAV,0.1,2,109.2,-0.27,0,2,39
Rule-Based,2000pcu/h_10%CAV,0.1,2,109.2,-0.28,0,4,62
Rule-Based,2800pcu/h_10%CAV,0.1,2,109.2,-0.28,0,4,86
Rule-Based,3600pcu/h_10%CAV,0.1,2,109.2,-0.27,0,4,108
Rule-Based,1200pcu/h_30%CAV,0.3,2,109.2,-0.27,0,4,36
Rule-Based,2000pcu/h_30%CAV,0.3,3,113.17,-0.4,0,6,69
Rule-Based,2800pcu/h_30%CAV,0.3,2,109.2,-0.28,0,6,92
Rule-Based,3600pcu/h_30%CAV,0.3,3,112.03,-0.41,0,6,108
Rule-Based,1200pcu/h_50%CAV,0.5,2,109.2,-0.28,0,4,41
Rule-Based,2000pcu/h_50%CAV,0.5,3,118.2,-0.35,0,4,70
Rule-Based,2800pcu/h_50%CAV,0.5,2,109.2,-0.27,0,4,90
Rule-Based,3600pcu/h_50%CAV,0.5,2,109.2,-0.27,0,4,112
Rule-Based,1200pcu/h_70%CAV,0.7,3,118.2,-0.35,0,4,43
Rule-Based,2000pcu/h_70%CAV,0.7,3,118.2,-0.35,0,4,69
Rule-Based,2800pcu/h_70%CAV,0.7,3,118.2,-0.35,0,4,90
Rule-Based,3600pcu/h_70%CAV,0.7,3,118.2,-0.35,0,4,114
Rule-Based,1200pcu/h_100%CAV,1.0,48,130.51,1.99,0,0,38
Rule-Based,2000pcu/h_100%CAV,1.0,80,133.16,4.73,0,0,69
Rule-Based,2800pcu/h_100%CAV,1.0,106,136.8,8.18,0,0,92
Rule-Based,3600pcu/h_100%CAV,1.0,135,139.58,10.85,0,0,119
